vin,car_make,car_year,car_color,value,state
5NPEB4AC0EH377888,Dodge,1998,Fuscia,53698.98,California
TRURD38J591607972,GMC,1996,Khaki,30556.77,California
1FTKR1AD2AP110706,BMW,2000,Yellow,59802.90,New York
JH4DC53862C628846,Ford,1994,Crimson,34797.99,Georgia
1N6AA0CC7EN762286,Lincoln,2006,Goldenrod,49391.92,Ohio
WA1DGAFE2DD778119,BMW,2010,Purple,33374.38,Texas
1FTNF2B59AE029068,Dodge,2005,Aquamarine,52579.26,Iowa
5NPET4AC6AH057059,Dodge,1999,Turquoise,53737.40,Nebraska
JTEBU4BF2CK029929,Pontiac,2005,Khaki,31299.18,Massachusetts
WAUGL98E96A933695,Mercedes-Benz,2009,Red,30510.76,Florida
WAUFGAFC2DN011004,Volkswagen,2010,Puce,62743.73,Arkansas
5N1AA0ND8EN978376,Bentley,2012,Orange,41637.17,Ohio
1N6AD0CU1CN430244,Lincoln,2011,Khaki,56912.28,Illinois
WP0AA2A97AS068893,Toyota,2009,Fuscia,24259.45,Virginia
YV1382MS7A2166626,Chrysler,2007,Crimson,21415.71,New York
1FTWW3DY8AE564619,Hyundai,1999,Khaki,27463.70,Texas
2T1KE4EE9CC866473,Dodge,1997,Violet,44761.83,Texas
KMHHT6KD4CU422634,Dodge,2000,Crimson,23853.51,Connecticut
1G6DD67V280406631,Jaguar,2001,Mauv,77358.41,New York
1G6DD67VX80703629,GMC,1992,Violet,52012.65,Washington
TRUSC28N531441753,Cadillac,2007,Pink,68372.65,California
1GD312CG5CF904731,Pontiac,1994,Mauv,48781.57,Texas
WAUFGAFC6DN917592,Isuzu,1994,Fuscia,62857.40,North Carolina
WDDEJ7GB6CA955523,Jeep,1996,Khaki,56330.96,Pennsylvania
JN1AZ4EH3FM564617,Chevrolet,1992,Crimson,60473.29,California
JN1CV6APXBM698533,Audi,2005,Aquamarine,48908.03,Wisconsin
1G4GD5G33FF187851,Oldsmobile,1992,Blue,64039.12,Virginia
1G6AM1R36F0737873,Volvo,2005,Aquamarine,58033.05,Nevada
5N1AA0NE0FN405854,Mercedes-Benz,2009,Khaki,37110.84,Florida
KMHGH4JH5CU374244,BMW,2006,Red,48003.06,Texas
1FMJK1H50BE022468,Pontiac,1991,Puce,68038.30,Ohio
WAUBH74FX6N011654,Mazda,1992,Yellow,22127.54,Georgia
YV1672MC8AJ566175,Saab,2011,Orange,78695.25,Oregon
WAUHGAFC4DN861905,Ford,2007,Red,56272.76,Maryland
1VWAS7A35FC948964,Ford,2009,Purple,45896.25,Florida
1G6DE5EG3A0082588,Ford,2009,Goldenrod,63705.82,Oklahoma
1FTEW1CM6CF362907,Chevrolet,1998,Khaki,33030.43,California
1G6AU5S82F0030086,Infiniti,2006,Mauv,20881.01,California
WAUBGAFB2BN793999,Lincoln,2010,Mauv,35574.67,Illinois
WBAWL13517P671741,Pontiac,1968,Purple,36105.18,North Carolina
19XFA1F39BE228085,Mazda,2009,Green,43050.48,Arizona
WBA3G7C59FK084161,Audi,1994,Violet,58630.62,Arizona
3D73Y4CL5AG352402,Pontiac,1998,Maroon,70222.65,California
WAULT68EX2A162641,Kia,2004,Mauv,45948.35,California
KMHGH4JF7BU029116,Mazda,1996,Red,40067.48,New York
1FAHP3FN7AW149335,Ram,2011,Purple,26818.31,Louisiana
KMHEC4A48FA138339,Toyota,2002,Mauv,62962.86,Michigan
WAUJFAFH0EN586616,Chevrolet,2005,Yellow,57408.37,Virginia
SAJWA0EX5E8208883,Ford,2002,Green,43180.58,Georgia
19XFA1E57AE373661,Mazda,1987,Indigo,35070.27,Connecticut
3D7TP2CT8AG115278,Mercury,1986,Crimson,44368.76,Nebraska
WAUFGAFC1DN195352,Nissan,2006,Violet,29546.14,Oklahoma
5UXZV4C50DL468966,Ford,1990,Purple,56038.09,California
3D7TT2HT7AG652129,Hyundai,2006,Purple,79217.99,New York
2T1KU4EE9BC204622,Audi,1999,Maroon,36203.14,Texas
WBAKF9C54BE004381,Toyota,2005,Teal,28598.01,Florida
JTDKN3DUXB0437922,BMW,2002,Indigo,36686.64,Louisiana
WAUML54B52N068749,Chevrolet,1995,Yellow,70762.98,Texas
WBALL5C55DJ182588,Lexus,1992,Violet,45439.81,Oklahoma
WDDHF0EB1EA932999,Corbin,1999,Orange,69731.22,Washington
1ZVBP8JZ8D5625168,Suzuki,1987,Mauv,32027.17,California
2C3CCAKT4CH857203,Volvo,2001,Goldenrod,22503.28,Georgia
WP0AB2A99FS302326,Plymouth,1993,Khaki,76472.59,North Carolina
KMHGC4DD9EU528691,Infiniti,2010,Aquamarine,25151.47,Oregon
5N1AN0NU6CC944756,Toyota,1995,Orange,65106.31,New York
1G6KE54Y44U708373,Saab,2007,Goldenrod,54859.64,North Carolina
JH4CU2E64BC527842,Honda,2005,Fuscia,59987.46,Iowa
WAUAH78E46A528260,Mercedes-Benz,2011,Puce,72363.64,Utah
WDDGF5EB2BA040409,Mazda,1984,Green,63303.40,Nevada
2G4WD552261848797,Mercedes-Benz,2006,Turquoise,22216.31,Texas
WAUZL54B51N531865,Dodge,1999,Red,44478.94,New York
WAULK78K49N912780,Kia,2002,Teal,50640.18,New York
2C3CDXJG6EH990147,Hyundai,2006,Green,66085.06,Kansas
JN8AZ1MU3CW981086,Pontiac,1984,Teal,45626.79,Utah
4A31K2DF7BE295156,Pontiac,1990,Teal,30973.69,Rhode Island
SALAG2D44CA220533,Ferrari,2010,Mauv,61655.45,North Carolina
2FMGK5BCXBB985088,Saab,2011,Purple,73649.74,West Virginia
WAUKH98E96A851171,Pontiac,2001,Mauv,53989.36,Texas
1G4GA5GR3EF679338,Mercedes-Benz,1992,Orange,28592.35,California
KL4CJASB4FB286070,Nissan,2008,Green,60313.74,Oregon
4T1BF1FK5CU746443,Nissan,1997,Yellow,30644.67,Washington
WA1LMAFE1BD650990,Cadillac,2012,Maroon,48122.57,Missouri
1G4HP57266U799802,Nissan,2010,Maroon,56942.38,Connecticut
19XFB4F29DE842580,Mitsubishi,2000,Crimson,50564.62,Michigan
WBAUL7C57CV945797,Chevrolet,2005,Teal,38419.60,North Carolina
3VW507AT7FM512607,Toyota,2005,Red,68951.78,North Dakota
JM1DE1HY3B0946888,Mitsubishi,1996,Maroon,27934.00,District of Columbia
3C6TD5PT4CG630478,Buick,2005,Purple,66028.29,Colorado
WAUNF98P98A277646,Dodge,2004,Orange,45039.44,Pennsylvania
WAUSF98E38A258415,Audi,1997,Teal,33135.61,Maryland
2T1BURHE0FC513927,Mazda,2010,Khaki,69204.01,Oklahoma
1FTNX2A57AE353134,BMW,1994,Purple,73675.12,Tennessee
4T1BD1FK0FU945832,Volkswagen,1994,Aquamarine,53320.20,District of Columbia
1FAHP2D88FG259187,Volkswagen,2005,Puce,65463.18,Nevada
5UXKU6C51F0405718,Kia,2003,Purple,50897.41,Wisconsin
YV1902AHXD1398254,Lexus,1999,Aquamarine,59526.61,Texas
WAUBF78E08A722393,Volkswagen,2012,Purple,47399.34,Texas
WAUDH98E06A883435,GMC,1996,Red,66822.92,Washington
1C3CCBHG7CN683487,Honda,2003,Turquoise,41734.27,Texas
WVGEF9BP1DD145528,Volkswagen,2003,Teal,37408.26,Utah
WBAAV33471F264916,Audi,2003,Puce,72375.09,Delaware
KMHFG4JG5CA895939,Porsche,1985,Teal,38527.91,Georgia
WBAUL7C51BV885692,GMC,1999,Green,69220.15,Washington
5FPYK1F2XBB690489,Plymouth,1999,Crimson,42535.68,Texas
KMHGN4JEXFU233141,Pontiac,1990,Orange,54660.52,Florida
WAUJC68E62A115100,Pontiac,1996,Khaki,70777.24,Colorado
5UMBT93518L817902,Chrysler,2000,Aquamarine,74969.95,Arkansas
JN8AZ2KR3DT841563,Volvo,2005,Maroon,47702.88,Connecticut
WBAFU7C54BC750935,Acura,1999,Orange,67169.06,Texas
WP0CA2A82DS935265,Mazda,2002,Khaki,51457.10,New York
WAUVC68E54A643036,Mitsubishi,2000,Crimson,58133.63,Iowa
WBA3A5G54CN931274,GMC,1999,Teal,58485.09,Virginia
