id,gender,school,state
1,Male,Public university,Maine
2,Female,Corporate university,Florida
3,Male,Corporate university,Connecticut
4,Male,Junior college,New Mexico
5,Male,University college,Maryland
6,Male,University-preparatory school,Virginia
7,Female,Graduate school,Michigan
8,Female,Junior college,Delaware
9,Female,Public university,Delaware
10,Female,Junior college,Massachussets
11,Male,Graduate school,Washington
12,Female,Graduate school,Idaho
13,Male,Public university,Massachussets
14,Female,High school,Arkansas
15,Male,Gymnasium,Arizona
16,Male,Middle school,Nevada
17,Male,Gymnasium,New Hampshire
18,Male,Junior college,North Carolina
19,Female,University-preparatory school,South Carolina
20,Male,Corporate university,New Jersey
21,Male,Technical college,Minnesota
22,Male,University college,Connecticut
23,Female,University-preparatory school,Nebraska
24,Male,High school,Vermont
25,Female,Junior college,Tennessee
26,Male,Graduate school,Arizona
27,Male,Technical college,Georgia
28,Male,Middle school,Washington
29,Female,High school,Missouri
30,Female,Junior college,Vermont
31,Male,Gymnasium,Kansas
32,Female,Junior college,Maine
33,Male,University-preparatory school,Rhode Island
34,Male,Graduate school,Pennsylvania
35,Female,University college,Virginia
36,Female,Corporate university,New Mexico
37,Male,Public university,Mississippi
38,Male,Middle school,Ohio
39,Female,University college,Indiana
40,Female,Public university,Texas
41,Male,Public university,Connecticut
42,Male,Corporate university,Washington
43,Male,Technical college,Mississippi
44,Female,Technical college,Missouri
45,Male,Middle school,Indiana
46,Female,Middle school,New York
47,Male,Graduate school,Texas
48,Female,Graduate school,Texas
49,Female,Middle school,Georgia
50,Male,Technical college,Oregon
51,Female,Graduate school,Michigan
52,Female,Graduate school,Florida
53,Female,Graduate school,Michigan
54,Female,Technical college,Virginia
55,Female,High school,Massachussets
56,Female,Gymnasium,North Dakota
57,Female,University college,New Mexico
58,Female,Technical college,Mississippi
59,Male,Middle school,Nevada
60,Female,Middle school,Virginia
61,Female,University-preparatory school,California
62,Male,Middle school,Maine
63,Male,Corporate university,North Dakota
64,Female,Middle school,Wyoming
65,Female,Gymnasium,Texas
66,Female,Gymnasium,New Mexico
67,Female,University-preparatory school,Kansas
